Dollar,
Type of Goods and Services,Total,Age Group of Main Income Earner (Years),,,,,,,,,,
,,Below 25,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 & Over,
TOTAL,4906.4,4200.8,4549.2,5228.6,5563.1,6039.8,5733.4,5758.5,4713.4,3822.9,2699.2,
FOOD AND NON-ALCOHOLIC BEVERAGES,388.7,339,351.7,405.6,423.3,434.4,438.5,411.6,367.8,343,315.4,
  FOOD,361,316.4,325.6,377.1,393.7,402.7,407.1,381.1,344.3,317.2,293.1,
    Bread and Cereals,69.6,69.1,66.2,76.8,72.4,76.7,80.8,76.7,69.3,58.4,47.6,
    Meat,60.3,53,57.8,53.2,60.1,67.8,74.4,64.4,56.6,52.3,53.2,
    Fish and Seafood,57.3,52.1,53.6,53.2,54.7,59.5,61.5,59.1,58.1,56.2,58.6,
"    Milk, Cheese and Eggs",42,28.5,36.3,72.2,68.5,50.7,39.5,33.5,30.1,27.2,22.2,
    Oils and Fats,7.7,7.2,6.7,6.5,7.2,8.2,9.5,8.4,8,6.7,7.5,
    Fruits,47.1,36.1,39.9,43.3,48.8,52.2,50.6,53.2,45.7,47.3,43.5,
    Vegetables,49.5,44,42.6,44.1,51.7,53.8,55.9,54,52,45.4,44,
"    Sugar, Jam, Honey, Chocolate and Confectionery",13.3,12.4,11,14.2,15.1,16.3,16.9,15.3,12,12.2,6.7,
    Food Products n.e.c,14.2,14,11.5,13.6,15.2,17.6,18,16.5,12.4,11.5,9.7,
  NON-ALCOHOLIC BEVERAGES,21.8,21.5,19.4,21.3,21.4,25,25.9,25.4,20.4,19,16.8,
"    Coffee, Tea and Cocoa",11.4,9.8,10,10.2,10.3,13.4,12.4,13.2,11.7,10.4,10.9,
"    Mineral Water, Soft Drinks, Fruit and Vegetable Juices",10.4,11.7,9.4,11.1,11.1,11.6,13.5,12.3,8.8,8.5,6,
  FOOD AND NON-ALCOHOLIC BEVERAGES N.E.C,5.9,1.2,6.7,7.2,8.2,6.6,5.6,5.1,3.1,6.8,5.5,
ALCOHOLIC BEVERAGES AND TOBACCO,42.4,46.9,43.9,41.6,43.1,39,47.2,50.4,43.8,40.8,31.7,
  ALCOHOLIC BEVERAGES,13.1,8.2,10.7,12.3,17.8,11.9,17.5,13.3,10.2,12.6,11.9,
    Spirits,2,0.9,1.7,1.5,4.1,2,0.5,1.3,1.8,1.6,3,
    Wine,5.3,3.5,2.4,3.7,7,3.7,9.6,4.6,4.2,6,6,
    Beer,5.9,3.8,6.6,7.2,6.7,6.1,7.4,7.3,4.2,5,2.9,
  TOBACCO,29.2,38.7,33.2,29.2,25.4,27.1,29.7,37.1,33.5,28.2,19.9,
  ALCOHOLIC BEVERAGES AND TOBACCO N.E.C,-,-,-,-,-,0.1,-,-,0.1,-,-,
CLOTHING AND FOOTWEAR,122.9,146.9,132.3,159.4,140,146.8,144.2,129.4,116.5,85.5,48.4,
  CLOTHING,87,103.1,95.1,117.3,95.3,103.5,99.9,93.4,84.6,61.6,31.9,
    Clothing Materials,0.6,0.4,0.1,0.9,0.5,0.3,1.8,0.3,0.3,0.2,0.4,
